fold,train_start,train_end,test_start,test_end,total_profit,total_trades,wins,losses,win_rate,avg_profit,target_hits,stop_losses,time_exits
91,2024-12-03 10:57:00,2024-12-26 11:01:00,2024-12-26 11:01:00,2025-01-02 13:06:00,47127.51,92,75,17,81.52,512.26,75,17,0
92,2025-01-09 15:12:00,2025-01-31 15:13:00,2025-01-31 15:13:00,2025-02-07 11:04:00,7414.51,52,22,30,42.31,142.59,22,30,0
93,2025-02-14 13:10:00,2025-03-11 13:20:00,2025-03-11 13:20:00,2025-03-20 09:20:00,2620.54,96,29,67,30.21,27.3,29,67,0
94,2025-03-27 11:26:00,2025-04-24 11:34:00,2025-04-24 11:34:00,2025-05-02 13:41:00,102619.25,231,172,59,74.46,444.24,172,59,0
95,2025-05-12 09:33:00,2025-06-03 09:41:00,2025-06-03 09:41:00,2025-06-10 11:53:00,46262.47,113,80,33,70.8,409.4,80,33,0
96,2025-06-17 14:03:00,2025-07-09 14:21:00,2025-07-09 14:21:00,2025-07-17 10:20:00,47253.83,80,72,8,90.0,590.67,72,8,0
97,2025-07-24 12:31:00,2025-08-18 12:38:00,2025-08-18 12:39:00,2025-08-25 14:46:00,4112.22,6,6,0,100.0,685.37,6,0,0
98,2025-09-03 10:37:00,2025-09-25 10:36:00,2025-09-25 10:37:00,2025-10-03 12:41:00,3603.61,8,6,2,75.0,450.45,6,2,0
99,2025-10-10 14:47:00,2025-11-06 13:47:00,2025-11-06 13:48:00,2025-11-14 09:37:00,3602.42,19,9,10,47.37,189.6,9,10,0
100,2025-11-21 11:43:00,2025-12-15 11:42:00,2025-12-15 11:43:00,2025-12-22 13:50:00,4944.94,21,11,10,52.38,235.47,11,10,0
101,2025-12-31 09:41:00,2026-01-23 09:40:00,2026-01-23 09:41:00,2026-02-01 11:45:00,34724.58,85,60,25,70.59,408.52,60,25,0
102,2026-02-06 13:51:00,2026-03-02 13:51:00,2026-03-02 13:51:00,2026-03-11 09:41:00,35104.14,65,55,10,84.62,540.06,55,10,0
